Timestamp,Container,CPU%,MemUsage(MB),MemLimit(MB),Mem%
2026-02-22T14:37:03.423Z,bank-api-db,68.21,221.50,6144.00,3.61
2026-02-22T14:37:04.500Z,api-bank-app-2,87.37,73.93,1024.00,7.22
2026-02-22T14:37:04.500Z,api-bank-app-1,79.58,73.97,1024.00,7.22
2026-02-22T14:37:04.500Z,bank-api-pgbouncer,18.99,1.91,512.00,0.37
2026-02-22T14:37:04.500Z,bank-api-db,68.36,221.60,6144.00,3.61
2026-02-22T14:37:04.501Z,api-bank-app-2,87.37,73.93,1024.00,7.22
2026-02-22T14:37:04.501Z,api-bank-app-1,79.58,73.97,1024.00,7.22
2026-02-22T14:37:04.501Z,bank-api-pgbouncer,18.99,1.91,512.00,0.37
2026-02-22T14:37:04.501Z,bank-api-db,68.36,221.60,6144.00,3.61
2026-02-22T14:37:05.504Z,api-bank-app-2,82.36,73.84,1024.00,7.21
2026-02-22T14:37:05.504Z,api-bank-app-1,93.57,73.98,1024.00,7.22
2026-02-22T14:37:05.504Z,bank-api-pgbouncer,22.04,2.18,512.00,0.42
2026-02-22T14:37:05.504Z,bank-api-db,77.67,221.50,6144.00,3.6
2026-02-22T14:37:06.559Z,api-bank-app-2,66.58,73.99,1024.00,7.23
2026-02-22T14:37:06.559Z,api-bank-app-1,98.89,74.51,1024.00,7.28
2026-02-22T14:37:06.559Z,bank-api-pgbouncer,19.7,1.93,512.00,0.38
2026-02-22T14:37:06.559Z,bank-api-db,68.42,222.40,6144.00,3.62
2026-02-22T14:37:07.521Z,api-bank-app-2,100.66,74.67,1024.00,7.29
2026-02-22T14:37:07.521Z,api-bank-app-1,63.27,74.35,1024.00,7.26
2026-02-22T14:37:07.521Z,bank-api-pgbouncer,19.3,1.92,512.00,0.37
2026-02-22T14:37:07.521Z,bank-api-db,68.82,222.10,6144.00,3.62
2026-02-22T14:37:08.569Z,api-bank-app-2,98.09,74.51,1024.00,7.28
2026-02-22T14:37:08.569Z,api-bank-app-1,78.03,74.45,1024.00,7.27
2026-02-22T14:37:08.569Z,bank-api-pgbouncer,19.71,1.92,512.00,0.38
2026-02-22T14:37:08.569Z,bank-api-db,70.98,222.70,6144.00,3.63
2026-02-22T14:37:09.568Z,api-bank-app-2,86.62,74.37,1024.00,7.26
2026-02-22T14:37:09.568Z,api-bank-app-1,88.17,75.16,1024.00,7.34
2026-02-22T14:37:09.568Z,bank-api-pgbouncer,16.01,1.93,512.00,0.38
2026-02-22T14:37:09.568Z,bank-api-db,57.71,222.10,6144.00,3.61
2026-02-22T14:37:10.835Z,api-bank-app-2,83.05,74.72,1024.00,7.3
2026-02-22T14:37:10.835Z,api-bank-app-1,97.83,76.12,1024.00,7.43
2026-02-22T14:37:10.835Z,bank-api-pgbouncer,20.67,1.91,512.00,0.37
2026-02-22T14:37:10.835Z,bank-api-db,71.86,221.90,6144.00,3.61
2026-02-22T14:37:11.650Z,api-bank-app-2,90.29,74.82,1024.00,7.31
2026-02-22T14:37:11.650Z,api-bank-app-1,95.02,76.41,1024.00,7.46
2026-02-22T14:37:11.650Z,bank-api-pgbouncer,19.69,2.42,512.00,0.47
2026-02-22T14:37:11.650Z,bank-api-db,67.1,222.10,6144.00,3.61
2026-02-22T14:37:12.677Z,api-bank-app-2,90.52,76.40,1024.00,7.46
2026-02-22T14:37:12.677Z,api-bank-app-1,88.66,76.18,1024.00,7.44
2026-02-22T14:37:12.677Z,bank-api-pgbouncer,23.02,1.92,512.00,0.37
2026-02-22T14:37:12.677Z,bank-api-db,76.29,222.70,6144.00,3.62
2026-02-22T14:37:13.682Z,api-bank-app-2,97.62,76.46,1024.00,7.47
2026-02-22T14:37:13.682Z,api-bank-app-1,75.77,76.52,1024.00,7.47
